ticket_id,ticket_type,subject,description,customer_age,channel,sentiment,urgency_score,impact_score,priority
34,Product inquiry,Question about product,I have a general question and would like some clarification.,52,Chat,neutral,0,1,Low
5282,Shipping issue,Urgent product problem,The device is not working and I need immediate assistance.,64,Email,negative,3,3,High
4913,Account problem,Delivery problem,My product has stopped working and I need a replacement as soon as possible.,61,Phone,negative,3,2,High
3299,Refund request,Shipping question,I am having a problem with my product and need assistance.,35,Email,negative,1,2,Medium
4757,Shipping issue,Payment problem,I was charged incorrectly and need the issue resolved quickly.,52,Email,negative,2,3,High
5434,Technical issue,Delivery problem,I cannot access my account and this is affecting my work.,44,Email,negative,2,2,High
1430,General question,Product information,I would like more information about the product. Please help me resolve this issue.,34,Email,positive,1,1,Low
1298,Information request,Need some information,I would like more information about the product.,59,Social media,positive,1,0,Low
4922,Shipping issue,Delivery problem,My product has stopped working and I need a replacement as soon as possible.,38,Social media,negative,3,3,High
534,Information request,Need some information,I have a general question and would like some clarification.,37,Chat,neutral,1,1,Low
7402,Critical account issue,Security concern,I have a serious security concern and need immediate assistance.,64,Chat,negative,4,4,Critical
3078,Shipping inquiry,Product issue,I have a billing issue that needs to be checked.,40,Social media,negative,1,1,Medium
1704,Information request,Question about product,Can you provide some details about this product?,68,Phone,positive,1,1,Low
3683,Shipping inquiry,Refund question,I have a billing issue that needs to be checked.,56,Phone,neutral,1,2,Medium
7873,Critical account issue,Critical system failure,This is an emergency. The system has completely failed and I cannot continue my work.,42,Social media,negative,4,3,Critical
5642,Account problem,Urgent product problem,I was charged incorrectly and need the issue resolved quickly.,63,Phone,negative,2,2,High
7473,Security issue,Urgent payment issue,The service has completely stopped working and is blocking critical operations.,60,Phone,negative,3,4,Critical
1023,Information request,Question about product,I would like more information about the product.,52,Social media,positive,1,0,Low
5736,Shipping issue,Payment problem,I cannot access my account and this is affecting my work.,70,Social media,negative,2,3,High
4688,Technical issue,Payment problem,My product has stopped working and I need a replacement as soon as possible.,52,Social media,negative,2,3,High
319,Information request,Need some information,I have a general question and would like some clarification.,41,Social media,positive,0,0,Low
4964,Billing issue,Urgent product problem,The device is not working and I need immediate assistance.,36,Chat,negative,3,3,High
767,Product inquiry,Question about product,Could you explain the available options? Please help me resolve this issue.,24,Email,neutral,1,0,Low
2898,Shipping inquiry,Billing problem,There is an issue with my recent order and I need help.,68,Social media,neutral,1,2,Medium
3762,Billing inquiry,Product issue,My delivery has a problem and I need assistance.,70,Email,negative,2,1,Medium
222,Information request,Product information,I would like more information about the product.,62,Email,neutral,0,1,Low
7470,Critical technical issue,Urgent payment issue,I cannot access critical business data and need this resolved immediately.,70,Chat,negative,4,4,Critical
2474,Refund request,Shipping question,I requested a refund and would like an update. Please help me resolve this issue.,69,Social media,negative,2,2,Medium
3535,Product issue,Product issue,My delivery has a problem and I need assistance.,25,Chat,negative,2,1,Medium
4560,Account problem,Payment problem,I was charged incorrectly and need the issue resolved quickly.,49,Phone,negative,3,2,High
1587,Product inquiry,Need some information,Can you provide some details about this product?,60,Phone,positive,1,0,Low
5699,Shipping issue,Delivery problem,The device is not working and I need immediate assistance. Please help me resolve this issue.,62,Social media,negative,2,2,High
7083,Security issue,Critical account problem,I cannot access critical business data and need this resolved immediately.,21,Social media,negative,4,3,Critical
1406,Information request,Need some information,I have a general question and would like some clarification.,19,Phone,positive,1,0,Low
1296,General question,Product information,I have a general question and would like some clarification.,39,Phone,positive,1,1,Low
8131,Critical billing issue,Critical account problem,I cannot access critical business data and need this resolved immediately.,46,Email,negative,4,3,Critical
1946,Product inquiry,Need some information,I have a general question and would like some clarification.,67,Chat,positive,1,1,Low
8399,Security issue,Critical account problem,I have a serious security concern and need immediate assistance.,59,Chat,negative,3,3,Critical
2477,Billing inquiry,Billing problem,I have a billing issue that needs to be checked. Please help me resolve this issue.,70,Chat,neutral,1,2,Medium
4395,Account problem,Urgent product problem,I cannot access my account and this is affecting my work.,69,Social media,negative,3,3,High
2007,Product inquiry,Product information,I would like more information about the product.,67,Email,positive,1,1,Low
2281,Billing inquiry,Shipping question,There is an issue with my recent order and I need help.,41,Chat,neutral,2,2,Medium
7682,Critical billing issue,Critical account problem,There appears to be a serious payment problem affecting multiple transactions. Please help me resolve this issue.,21,Chat,negative,4,4,Critical
734,Information request,Question about product,I would like more information about the product.,47,Email,positive,1,1,Low
5063,Billing issue,Delivery problem,My product has stopped working and I need a replacement as soon as possible. Please help me resolve this issue.,54,Phone,negative,3,3,High
2143,Product issue,Product issue,I have a billing issue that needs to be checked.,20,Phone,neutral,2,1,Medium
1200,General question,Need some information,I would like more information about the product.,33,Phone,positive,0,0,Low
2933,Billing inquiry,Shipping question,I am having a problem with my product and need assistance. Please help me resolve this issue.,20,Phone,negative,1,1,Medium
1868,Product inquiry,Product information,I have a general question and would like some clarification.,51,Chat,neutral,1,0,Low
5919,Account problem,Account access issue,My order is significantly delayed and I need help urgently. Please help me resolve this issue.,48,Chat,negative,3,3,High
2642,Billing inquiry,Product issue,I am having a problem with my product and need assistance.,43,Email,neutral,1,2,Medium
2629,Product issue,Shipping question,There is an issue with my recent order and I need help.,28,Chat,negative,2,1,Medium
6829,Critical account issue,Critical account problem,The service has completely stopped working and is blocking critical operations. Please help me resolve this issue.,32,Phone,negative,3,3,Critical
966,General question,Need some information,Could you explain the available options?,54,Chat,positive,0,0,Low
